"City","Type","RoomType","2023-11-05","2023-11-06","2023-11-07","2023-11-08","2023-11-09","2023-11-10","2023-11-11"
"gulshan","5 star","Single","BDT 11,737","BDT 11,737","BDT 11,737","BDT 9,121","BDT 9,457","BDT 9,457","BDT 9,457"
"gulshan","5 star","Single","BDT 18,738","BDT 18,738","BDT 18,738","BDT 18,738","BDT 18,738","BDT 18,738","BDT 18,738"
"gulshan","5 star","Single","BDT 28,118","BDT 28,118","BDT 27,758","BDT 27,758","BDT 25,772","BDT 22,851","BDT 22,851"
"gulshan","5 star","Single","BDT 19,470","BDT 19,470","BDT 19,470","BDT 17,112","BDT 17,112","BDT 22,467","BDT 22,467"
"gulshan","5 star","Single","BDT 19,718","BDT 27,992","BDT 18,914","BDT 19,470","BDT 19,470","BDT 17,112","BDT 17,112"
"gulshan","5 star","Single","BDT 29,397","BDT 19,718","BDT 32,211","BDT 27,992","BDT 26,585","BDT 19,470","BDT 19,470"
"gulshan","5 star","Double","BDT 11,737","BDT 11,737","BDT 11,737","BDT 10,433","BDT 9,152","BDT 9,152","BDT 9,457"
"gulshan","5 star","Double","BDT 18,738","BDT 18,738","BDT 18,738","BDT 18,738","BDT 18,738","BDT 18,738","BDT 18,738"
"gulshan","5 star","Double","BDT 28,118","BDT 28,118","BDT 29,530","BDT 28,118","BDT 28,118","BDT 22,841","BDT 22,467"
"gulshan","5 star","Double","BDT 20,046","BDT 19,470","BDT 18,914","BDT 18,566","BDT 26,585","BDT 22,467","BDT 22,467"
"gulshan","5 star","Double","BDT 19,470","BDT 19,936","BDT 19,470","BDT 19,470","BDT 19,470","BDT 17,895","BDT 19,470"
"gulshan","5 star","Double","BDT 29,397","BDT 27,992","BDT 32,211","BDT 27,992","BDT 19,936","BDT 19,470","BDT 19,706"
"gulshan","5 star","Triple","BDT 32,369","BDT 39,515","BDT 40,954","BDT 30,944","BDT 29,518","BDT 22,819","BDT 25,497"
"gulshan","5 star","Triple","BDT 39,515","BDT 30,944","BDT 35,220","BDT 39,119","BDT 39,515","BDT 25,497","BDT 33,756"
"gulshan","5 star","Triple","BDT 38,964","BDT 38,964","BDT 38,964","BDT 38,964","BDT 38,964","BDT 33,756","BDT 38,964"
"gulshan","5 star","Triple","BDT 35,400","BDT 35,400","BDT 35,400","BDT 35,400","BDT 35,400","BDT 38,964","BDT 35,400"
"gulshan","5 star","Triple","BDT 41,630","BDT 39,515","BDT 40,954","BDT 42,050","BDT 42,050","BDT 35,303","BDT 42,050"
"gulshan","5 star","Triple","BDT 32,369","BDT 30,944","BDT 35,220","BDT 30,944","BDT 29,518","BDT 41,630","BDT 25,497"
"gulshan","5 star","Family","BDT 56,237","BDT 56,237","BDT 60,184","BDT 56,731","BDT 57,201","BDT 45,703","BDT 45,703"
"gulshan","5 star","Family","BDT 48,984","BDT 48,984","BDT 48,984","BDT 48,984","BDT 48,984","BDT 44,934","BDT 44,934"
"gulshan","5 star","Family","BDT 43,613","BDT 55,983","BDT 64,422","BDT 55,983","BDT 53,170","BDT 48,984","BDT 48,984"
"gulshan","5 star","Family","BDT 58,795","BDT 51,400","BDT 51,914","BDT 44,053","BDT 44,053","BDT 35,303","BDT 44,053"
"gulshan","5 star","Family","BDT 54,255","BDT 56,237","BDT 60,184","BDT 54,255","BDT 48,542","BDT 43,613","BDT 44,130"
